id,text,kategorie
B056,"Die Radwege sind so zugeparkt, dass man als Radfahrer ständig ausweichen muss.",radwege
B057,"Im Winter werden die Radwege nicht geräumt, das ist bei Glätte sehr gefährlich.",radwege
B058,"Die Fahrradständer am Bahnhof reichen bei weitem nicht für alle Pendler aus.",radwege
B059,"Der Radweg ist voller Wurzelaufbrüche und dadurch kaum sicher befahrbar.",radwege
B060,"An der Kreuzung gibt es keine Ampelschaltung für Radfahrer, das führt zu vielen Beinahe-Unfällen.",radwege
B061,"Die Markierung der Radspur ist verblasst, Autofahrer halten sie nicht mehr ein.",radwege
B062,"Die Straßenbeleuchtung in unserer Straße ist seit Wochen ausgefallen, abends ist es stockdunkel.",beleuchtung
B063,"Am Fußweg zum Bahnhof fehlt jede Beleuchtung, das fühlt sich nachts sehr unsicher an.",beleuchtung
B064,"Mehrere Laternen im Park flackern oder sind ganz aus, das schreckt Besucher ab.",beleuchtung
B065,"Die dunkle Unterführung ist ein Angstraum, hier muss dringend Licht installiert werden.",beleuchtung
B066,"Die defekte Beleuchtung am Spielplatz wurde trotz mehrfacher Meldung nicht repariert.",beleuchtung
B067,"An der Bushaltestelle ist es so dunkel, dass man die Fahrpläne nicht lesen kann.",beleuchtung
B068,"Die Beleuchtung des Parkplatzes ist ausgefallen, dadurch häufen sich die Einbrüche.",beleuchtung
B069,"Die Baustelle in der Innenstadt blockiert seit Monaten den Zugang zu den Geschäften.",baustelle
B070,"Wegen der Bauarbeiten ist die Zufahrt zu unserem Haus dauerhaft versperrt.",baustelle
B071,"Die Umleitung wegen der Baustelle ist völlig unzureichend ausgeschildert.",baustelle
B072,"Der Bauschutt der Baustelle liegt auf dem Gehweg und versperrt den Weg für Fußgänger.",baustelle
B073,"Die Baustelle ruht seit Wochen, ohne dass irgendetwas vorangeht.",baustelle
B074,"Durch die Bauarbeiten gibt es im ganzen Viertel täglich kilometerlange Staus.",baustelle
B075,"Die Absperrung der Baustelle ist nachts nicht beleuchtet und damit gefährlich.",baustelle
